BookId,Name,TotalWorks,TotalWords,TotalDays,LevelTag,ImgLink,Books
8263527304935303,囧囧有妖,6,756万,1971,白金,"https://facepic.qidian.com/qd_face/349573/a7909386/0",22244524601367604;19118954508500004;14156142405054404;11410159504961703;4818982104534803
21855922801825904,花匪,1,55万,310,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2022-06-01/844520e148fff18367602a21b2a73862B601585oM8tN9kF.jpg",
24125475801715104,巧克力派,5,500万,2172,签约,"https://ccstatic-1252317822.file.myqcloud.com/writer/p1/contentv2/photo_default.png",27445029804678904;20111401108932404;17905671206857004;3735479503128701
17536776207350304,灵小哥,5,1541万,3183,大神,"https://facepic.qidian.com/qd_face/349573/a7791531/0",12092093704617603;6633058603958003;2807665901639502;22213434000957302
25001510901180504,,,,,,,
23668280201484904,荆棘之歌,11,1093万,2771,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2022-06-30/89c4b0df90822ab9503db8b90b013e8aeQn8voUc4SX11U5.jpg",22537847201444604;22537839101439204;22537832801434204;21953280608166504;21044094408630904;18990003708945404;16336673204305304;12168814504519603;4937301604665003;3990258303881503
24604915301478504,燕小陌,8,1082万,3372,大神,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2024-04-02/a3da1763a73da69191a8d62b91876f8avjLYTGS9eZDGsqI.jpg",16793488904152804;13977366803438804;10027934804677503;4066980404814601;25378703000542901;25378614000542101;3756519203907701
23745323301951404,漫漫步归,5,1122万,2606,签约,"https://ccstatic-1252317822.file.myqcloud.com/writer/p1/contentv2/photo_default.png",20076235401040204;14953714705112904;8623124404548303;22376687000523202
22455842509184904,非10,7,1137万,3066,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2022-11-26/1af003b506f1a11d4dda16594f4ab0323QNnKcd30ptpNBP.jpg",18766731108345204;11520050703600603;7317963003730403;3150632801957202;22414021000720302;22385158000199402
15953225505698104,墨泠,6,1954万,3232,大神,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2024-03-13/0a28124b0c29ae4c245bc7fef9a5ccefMpqe7J17EBW6wVI.jpg",18973470101456604;11297425304303403;8314915703615503;4591120804370303;23002217000122002
15177661204127704,八云家狐狸,2,181万,404,签约,"https://ccstatic-1252317822.file.myqcloud.com/writer/p1/contentv2/photo_default.png",13513123305754604
28020272302925004,大漠起兮,1,18万,687,签约,"http://ccstatic-1252317822.file.myqcloud.com/portraitimg/2019-03-06/83ac58aab6481297ac3a93d7a55122ee.jpg",
12110374803718803,蒲扇扑流萤,1,57万,440,普通,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2018-11-13/5bead8f42d48d.png",
17906822106463104,巧乐兹不够吃,1,7.8万,58,签约,"https://ccstatic-1252317822.file.myqcloud.com/portraitimg/2020-09-03/5f5073ea6d48c.jpeg",
17155104204051104,胖虎22爷,3,260万,1137,签约,"http://ccstatic-1252317822.file.myqcloud.com/portraitimg/2017-07-25/5976c64d1decd.jpeg",13613178303956704;8214346204220103
16792364604322104,千桦尽落,8,1035万,3568,白金,"https://facepic.qidian.com/qd_face/349573/a401044217/0",22191858701403204;21950364501844104;14450034905560004;9199042603510603;3733263003088801;25463411000467701;25457384000445301
15615963605534504,暗香,18,1995万,4440,大神,"https://facepic.qidian.com/qd_face/349573/a401043267/0",29049656903062504;25324751901314504;21292531108289404;19541280801382404;13770344305942104;8662633103586503;5852880603647001;3735479904001501;3757013104474701;3735271804865301;3757111704589401;3735476303117201;3735435904959001;3735407704940301;3735297804877301;6971738704549101;5392573703328101
