BookId,Name,Author,Type,IsCompleted,Popularity,Intro
27760376302677004,灯花笑,千山茶客,古代言情,连载中,63.12万,陆曈上山学医七年，归乡后发现物是人非。\n长姐为人所害，香消玉殒，\n兄长身陷囹圄，含冤九泉；\n老父上京鸣冤，路遇水祸，\n母亲一夜疯癫，焚于火中。\n\n陆曈收拾收拾医箱，杀上京洲。\n欠债还钱，杀人偿命！\n若无判官，我为阎罗！\n*\n京中世宦家族接连出事，\n殿前司指挥使裴云暎暗中调查此事，\n仁心医馆的医女成了他的怀疑对象。\n不过......\n没等他找到证据，\n那姑娘先对他动手了。\n*\n疯批医女x心机指挥使，日更，每天早上七点更新，请支持正版茶～
26472219809737504,开局就被赶出豪门,一路烦花,现代言情,连载中,138.54万,一睁眼，白蔹穿到了一个声名狼藉的纨绔大小姐身上。\n 听说她父亲是北城的新贵，白手起家声名远播；\n        她的私生子大哥是个天才，考上市状元去了江京大学；\n        私生子妹妹是隔壁国际班多才多艺的校花，温婉知礼；\n         未婚夫是金融贵公子，校园学神，没拿正眼看过她……\n 而她，就是个毫不起眼智商不高的普通人，开局就被赶出这个家门。\n 白蔹：行吧，那她就好好学学习，努力做个普通人~\n 众（迷之微笑脸）：……你最好是？？\n 被发配到湘城的大小姐，没有背景，不学无术，人人都可以去踩上一脚……踩不动？？？？\n 【人间独美懒散肆意谁惹她就弄死谁疯批女主vs高贵冷艳散发逼王之气智商碾压在场所有人男主】\n ps：男女主都很苏，主打一个没逻辑的爽文，请勿深究逻辑线，拜谢\n 立意：爱学习，做好人。
15713073004624304,席爷每天都想官宣,公子安爷,现代言情,连载中,312.94万,【宠文、无虐、女强、团宠！】\n　　阮柒爆红之后。\n　　黑粉：再漂亮也没文化。\n　   当天下午，华夏最高等学府发博——介绍一下，我院最年轻博士生导师，阮柒教授。\n　　黑粉：炒学霸人设有什么用？最后也得向金主低头。\n　　第二天，阮柒现身国际经济会议，名牌落款——柒木制药集团董事长。\n　　黑粉：赚这么多钱，也不知道为国家做点贡献。\n　　三天后，官方发布新闻——最新型核潜艇问世，感谢总设计师阮柒及所有研发成员！\n　　黑粉们：……\n　　惹不起，再见。\n　　*\n　　结婚之后，有记者问席玖：九爷您当初是怎么追到阮女神的？\n　　席玖默默的翻开一个日记本。\n　　追妻日记：\n　　一、给宝贝打榜。\n　　二、帮宝贝投票。\n　　三、为宝贝应援。\n　　四、宝贝的电影要包场。\n　　五、加入宝贝后援会。\n　　……众所周知，阮女神有个宇宙级富豪铁杆粉——席家九爷，席玖！
22856971109182904,御兽从零分开始,给我加葱,玄幻言情,连载中,174.32万,睁开眼，乔桑发现自己穿成了初中生。\n紧接着来了一场模拟考。\n985毕业她怕了吗？\n她怕了……\n这考的都什么啊！\n臭臭鳅的最终进化形态叫什么？\n人类已移民的星球都有哪些？\n……\n……\n欢迎来到御兽世界。
17536776207350304,夫人她马甲又轰动全城了,灵小哥,现代言情,连载中,543.68万,乔念在乔家生活了18年，亲生父母找上门来，一时之间，绕城豪门都知道乔家出了个假千金！\n真千金多才多艺，温柔善良。\n假千金不学无术，一事无成。\n所有人都想看她被赶出豪门后，回到山沟沟过得有多惨！\n乔念也以为自己亲生父母来自漯河县，是个一穷二白的穷老师。\n谁知道哥哥开的车是辉腾，裸车300万！\n亲爸教书的地方在清大，老师还有个别称是教授！\n渣渣们一家跪舔的顶级大佬对着她爷爷点头哈腰…\n乔念：？\nenmm…这和说好的不一样！\n脱离一群渣渣，乔念她做回了自己。\n高考状元，直播大佬，非遗文化继承人…马甲一个个掉，绕城热搜一个个上，渣男渣女渣父母脸都绿了。\n黑粉都在嘲：卖人设有什么用，还不是天天倒贴我哥哥。\n乔念：不好意思，我有对象了。\n顶流哥哥：@乔念，给大家介绍一下，这个是我妹妹。\n豪门爷爷：囡囡，那么努力干什么，要啥自行车，爷爷给你买！\n……\n京市豪门都在传妄爷有个藏在金屋里的老婆，不管别人怎么起哄，从来不肯带出来见人。别问，问就是那句：“我老婆是农村人，怕生。”\n直到某一天，有人看到一向矜贵高冷的妄爷掐着个女生的细腰，把人堵在墙角，眼角赤红的呢喃：“宝宝，什么时候给我个名分？”\n    【假千金她是真豪门】 +【双大佬】
20517517901301204,退下，让朕来,油爆香菇,玄幻言情,连载中,351.85万,沈棠在发配路上醒来，发现这个世界很不科学。\n天降神石，百国相争。\n文凝文心，出口成真。\n武聚武胆，劈山断海。\n她以为的小白脸，一句“横枪跃马”，下一秒甲胄附身，长枪在手，一人成军，千军万马能杀个七进七出！\n她眼里的痨病鬼，口念“星罗棋布”，苍天如圆盖，陆地似棋局，排兵布阵，信手拈来！\n这TM都不能算不科学了！\n分明是科学的棺材板被神学钉死了！\n而她——\n“主公，北郡大旱，您要不哭一哭？”\n沈棠：“……”\n“主公，南州洪涝，您要不多笑笑？”\n沈棠：“……”\n————————\n看着被她干掉的十大碗米饭，比脸干净的口袋，以及一群嗷嗷待哺、不怀好意、整天惹是生非的村民，疑似饭桶转世、真·灵魂画手的村长沈棠，不得不放弃心爱的画笔，被迫走上应聘诸侯之路。\nPS：已完结种田争霸文《女帝直播攻略》，休闲慢穿大佬文《大佬退休之后》。
23668280201484904,宋檀记事,荆棘之歌,现代言情,连载中,241.84万,一句话简介：从修真界穿越回来后，我回老家种地开直播卖菜了！\n\n——\n\n修成金丹渡劫失败的宋檀回到现代，发现自己身处连环车祸的现场，靠着恩人救命才死里逃生。\n那还有什么好考虑的？不做社畜，回老家种田吧！！！\n靠着自己的修仙经验，宋檀打造山水田园，薅野菜，农家饭，掐黄瓜，开直播，卖山珍……\n\n\n［纯种田，真的种田那种］\n［有男主，戏份不多］
22455842509184904,长安好,非10,古代言情,连载中,200.53万,京城那位胆小娇弱的第一美人不幸落到了人贩子手中。\n京中众人摇头叹息：这波要完。\n千里之外，废物美人睁开眼睛，反手就把人贩子给卖了——\n……\n换了芯儿的少女挥霍着贩卖人贩子得来的银钱回到都城，才发现昔日的小弟如今都成了大佬，且一个个的都把“她”当作女儿养——\n一，二，三，四……\n所以，如今她竟有四个男妈妈?！\n……\n本文又名《美强惨女主重生后》《废物美人她为何突然倒拔垂杨柳》
25829981209263804,我曝光前世惊炸全网,卿浅,现代言情,连载中,44.56万,【甜燃爽+双疯批+非遗传承+家国大义】\n夜挽澜的身体被穿了，穿越者将她的生活变得乌烟瘴气后甩手走人，她终于重新获得了身体的掌控权，却又被困在同一天无限循环999年。\n无论她做什么事情，一切都会重来，被逼成了一个掌控无数技能的疯子。\n脱离循环那天，面对残局，所有人都笑她回天无力，直到她的前世今生无意被曝光——\n夜挽澜从十丈高处轻功跃下，毫发无损\n有人解释：她吊了威亚\n夜挽澜一曲《破阵乐》，有死无伤\n有人辩白：都是后期特效\n夜挽澜再现太乙神针，妙手回春\n有人掩饰：提前写好的剧本\n此后，失落百年的武学秘法、缂丝技术、戏曲文艺重现于世……\n为她疯狂找借口的大佬们：……\n能不能收敛点？\n他们快编不下去了！\n·\n夜挽澜忽然发现她能听到古董的交谈，不经意间掌握了古今中外的八卦。\n【绝对没人知道，天启大典在凤元宝塔下埋着】\n次日，华夏典籍天启大典问世。\n【我可是宁太祖的佩剑，我不会说太祖的宝藏在哪儿】\n隔天，国际新闻报道宁太祖宝藏被发现。\n后知后觉终于发现不对劲的古董们：？？？\n夜挽澜伸出手：我带你们回家\n·\n我神州瑰宝，终归华夏\n新的时代，她是唯一的炬火\n他以生命为赌，赌一个有她的神州盛世
26999776207109104,他在复仇剧本里恋爱脑,顾南西,现代言情,连载中,59.1万,谢家一家都是学法律的，书香门第该有的优良品质谢商也都有，优雅，学识渊博，司香读经，还会琴棋书画。\n但他是个疯子，会捧着佛经读，也会折断人手骨脚骨，很温柔，也很残忍。\n谢商没当律师，开了家当铺，什么都可以当，只要故事够动人。\n某天当铺来了个人，讲了个故事：\n香城有一户姓温的人家，那家的女儿都随母姓。她们家的女儿会下蛊，那种让男人神魂颠倒的蛊，她们的爱人或是殉葬，或是出家，总之不是死就是一生孤苦。\n谢商的小叔就死在了香城，于是他接了这单典当生意。\n被蛊，被惑，刺激，深爱，爱而不得，痛不欲生。——这是谢商给温长龄那个小聋子准备好的剧本。\n最后，拿到这个恋爱脑剧本的成了谢商。\n温长龄：惊喜吗？谢商先生。\n（不是穿书哦，是现言小甜文，书名里的剧本是蓄意而谋的意思）
25154483909530904,辞金枝,冬天的柳叶,古代言情,已完结,89.65万,辛柚天生一双异瞳，能偶尔看到他人将要发生的倒霉事。这是她的烦恼，亦是她的底气。\n        京城吃瓜群众突然发现:少卿府那个寄人篱下的表姑娘硬气起来了！
17484966706914304,全位面都跪求反派女主做个人,杜了了,科幻空间,连载中,556.41万,【女强，1v1，甜文，男主充话费送的】\n她本是让各个位面攻略者都闻风丧胆的大反派，一怒之下撕碎所有系统。\n因为被困在小世界过于无聊，千雁抓了个系统强制绑定，开启了新的任务。\n千雁发现，几乎每个位面都有个熟人跟着她，动不动就想和她在一起。\n可是她只想做任务，搞事业，不想谈恋爱！
27258376807665604,惊！天降老公竟是首富,公子衍,现代言情,连载中,86.03万,许南歌结婚了，她自己却不知道，从天而降的老公竟还是首富！\n一个是见不得光的私生女，从小摸爬滚打，苦苦求生。\n一个是天之骄子，高高在上。\n两人地位天差地别，众人等着许南歌被扫地出门，可等着等着，却只等来了首富的一条朋友圈：\n“老婆，可不可以不离婚？”\n众：？？\n【女强，马甲，霸总，强强对决，1V1】
