Word,Frequency
想,162
女主,281
cp,7
好看,76
部,19
小说,109
明觉,1
叶舒文,1
死,23
可惜,9
作者,180
前,19
面少,3
章数,3
完结,38
苏医生,1
这几年,2
书,71
先,31
签,1
出版,4
连载,3
出版社,3
体量,1
写,131
25万,2
字,25
超过,3
30万,2
粟,10
黑月光,1
超,5
字数,4
压着,1
头疼,1
删,3
旧,3
谙,3
里,82
一开始,10
说,155
书里,2
男女,25
感情,18
线索,1
主旨,2
主题,1
鼹鼠,6
刑侦,2
缉毒,1
疫情,2
苏,2
医生,6
定制,7
重点,2
选题,1
喜欢,238
类文,1
亲亲,3
暂时,3
告别,1
未来,5
也许,8
心血,3
潮会,1
缠绵悱恻,2
长篇,3
言情,14
到时候,3
再见,6
,2
么么哒,3
爱,130
挖坑,1
技术,3
哪家,1
强,14
请到,1
红袖,22
找,14
吉祥,8
晚,8
啊啊,60
昨天,5
抱歉,12
高铁,1
估计,5
晚上,10
养文,2
惊世,1
医妃,3
文笔,35
加油,51
＾,7
O(∩,1
∩)O,1
本书,135
一度,2
哭,22
不能自已,1
第一,60
卷,2
十三,5
得知,2
秦洛,11
牺牲,5
那段,3
第三,8
毒瘾,1
发作,1
身负,2
重伤,1
情况,13
驾,1
快艇,1
击杀,1
逃亡,1
轮船,1
司机,2
风花雪月,1
无病呻吟,1
庸俗不堪,1
震撼,6
理所当然,1
羡慕,9
小四,1
小时候,7
亲情,1
友情,1
长大,2
爱情,31
真真,3
应,3
句,23
话,14
成长,5
路,7
长,22
从不孤单,1
一路,7
俩,6
眼神,3
含义,1
四会,1
无条件,4
哄,3
做,54
捧,6
手心,2
女孩儿,1
那种,18
滋味,1
真的,134
棒,14
祝福,10
白头偕老,2
举案齐眉,1
青丝,1
白发,1
壮年,1
暮年,1
携手,2
走过,6
一生,12
临了,1
忘,13
初心,6
大无畏,1
英雄,11
坚强,3
隐忍,1
理智,7
心中,9
爱国,1
爱家,1
爱人,4
国,2
孑然一身,1
打进,1
禁毒网,1
底层,1
不惜,1
丧心病狂,2
陷害,3
染上,2
毒品,2
群,12
恶心,7
男人,31
女人,30
周旋,1
调笑,2
脆弱,2
自白,1
中,65
次,47
写到,10
粉白,1
海棠,1
纯洁,2
善良,8
高贵,2
粪坑,1
不见天日,1
蛆,1
糟糕,1
不堪下贱,1
断掉,1
手指,4
睡,8
杀,5
怯懦,1
张队,1
忍,8
疯,3
优秀,6
出色,2
文章,15
留,5
悬念,1
希望,90
弟弟,8
秦臻,1
陌生,1
城市,2
热爱,2
公安,1
事业,1
警察,14
遗书,1
拿来,1
安慰,2
夜,5
太,145
黑,7
清,7
方向,7
瞳孔,1
恒久,1
影像,1
始终,5
信仰,10
两,66
守护,6
当作,2
可爱,25
这是,42
儿女情长,1
气概,1
家国,2
情怀,2
职业,5
肃然起敬,1
件,19
无上,3
荣耀,5
事情,25
有一天,3
骄傲,5
酷,1
壮烈,2
刻起,1
想法,8
读书,5
不行,9
参军,1
军人,4
妻子,3
母亲,4
奉献,1
祖国,1
死而无憾,1
梦,3
马,1
负,3
韶华,1
故事,63
in,2
the,1
end,2
小四，十三,1
段扬,1
汤,2
瞳,1
小姐,13
魏,1
妈妈,11
秦,3
三水,1
老师,7
柳池,1
）们,3
所有人,3
特别,29
感谢,31
带来,8
祝作者,1
全家,2
幸福,10
和睦,3
平安,2
健康,6
中国,8
情书,5
夜晚,2
星,1
照耀,1
转青岛,1
集团,3
书评,15
4月,1
23日,2
盛典,2
发布,5
2018,4
年度,1
榜单,1
首次,1
网络,4
文学,4
作品,36
身影,1
阅文,2
旗下,1
平台,6
写给,5
荣膺,1
该书,2
纸质版,1
图书,1
青岛,1
发行,1
此前,1
入选,1
国家,7
新闻,3
出版署,1
作协,1
原创,2
题记,1
言,5
黑暗,10
负重,1
前行,2
灵魂点,1
亮光明,1
身祭,2
此书,2
赞歌,1
塑造,7
人物,40
生活,18
勤奋,3
敬业,1
年轻,3
警花,1
萧,6
伊然,3
拼,1
善于,1
错综复杂,2
案件,4
抽丝剥茧,1
刑侦队,3
长宁,3
时谦,3
忠贞,1
素质,3
过硬,1
卧底,2
可敬,1
群像,1
机智,1
敏捷,1
勇敢,6
无畏,2
警员,1
沉着,2
冷静,5
经验,1
中年,1
警官,1
活泼,3
重情,1
重义,1
青年,1
女警,2
忠于,1
职守,1
勤勉,1
终生,1
生动,2
鲜明,4
分,7
