Category,Rank,Title,BookId,Link
热销榜,1,恰似寒光遇骄阳,8263527304935303,https://www.hongxiu.com/book/8263527304935303
热销榜,2,摄政王他又在掐我桃花,21855922801825904,https://www.hongxiu.com/book/21855922801825904
热销榜,3,穿成权臣的首富娇妻,24125475801715104,https://www.hongxiu.com/book/24125475801715104
热销榜,4,夫人她马甲又轰动全城了,17536776207350304,https://www.hongxiu.com/book/17536776207350304
热销榜,5,欢迎来到我的地狱,25001510901180504,https://www.hongxiu.com/book/25001510901180504
热销榜,6,宋檀记事,23668280201484904,https://www.hongxiu.com/book/23668280201484904
热销榜,7,大小姐她总是不求上进,24604915301478504,https://www.hongxiu.com/book/24604915301478504
热销榜,8,大理寺小饭堂,23745323301951404,https://www.hongxiu.com/book/23745323301951404
热销榜,9,长安好,22455842509184904,https://www.hongxiu.com/book/22455842509184904
热销榜,10,十万个氪金的理由,15953225505698104,https://www.hongxiu.com/book/15953225505698104
风云榜,1,重生厨娘有空间,15177661204127704,https://www.hongxiu.com/book/15177661204127704
风云榜,2,权臣首辅的炮灰前妻，重生了！,28020272302925004,https://www.hongxiu.com/book/28020272302925004
风云榜,3,大宋宠妃陈三娘,12110374803718803,https://www.hongxiu.com/book/12110374803718803
风云榜,4,穿书之我的反派闺蜜们,17906822106463104,https://www.hongxiu.com/book/17906822106463104
风云榜,5,夜寒深深醉思量,17155104204051104,https://www.hongxiu.com/book/17155104204051104
风云榜,6,嫡长女她又美又飒,16792364604322104,https://www.hongxiu.com/book/16792364604322104
风云榜,7,成亲后王爷暴富了,15615963605534504,https://www.hongxiu.com/book/15615963605534504
风云榜,8,你是我一的N次方,14354426504747404,https://www.hongxiu.com/book/14354426504747404
风云榜,9,清穿皇妃要娇养,8662633103586503,https://www.hongxiu.com/book/8662633103586503
风云榜,10,安陵容重生之锁清秋,28135469704249304,https://www.hongxiu.com/book/28135469704249304
新书榜,1,摄政王他又在掐我桃花,21855922801825904,https://www.hongxiu.com/book/21855922801825904
新书榜,2,再度热恋,20805366208280104,https://www.hongxiu.com/book/20805366208280104
新书榜,3,穿成反派后，乖戾年下把我撩哭了,21850530801474104,https://www.hongxiu.com/book/21850530801474104
新书榜,4,穿越后有个皇位等着我继承,21890201001610804,https://www.hongxiu.com/book/21890201001610804
新书榜,5,农家悍姐,21845019201436004,https://www.hongxiu.com/book/21845019201436004
新书榜,6,温小姐，撩你心动,21830547001290904,https://www.hongxiu.com/book/21830547001290904
新书榜,7,国师，陛下又不乖,21967813308221904,https://www.hongxiu.com/book/21967813308221904
新书榜,8,白天冷冰冰的顶流晚上哭着哄我,21933370001278504,https://www.hongxiu.com/book/21933370001278504
新书榜,9,长公主今天登基了吗,21881571201993904,https://www.hongxiu.com/book/21881571201993904
新书榜,10,钓系美人在恋综成了万人迷,21942288508637804,https://www.hongxiu.com/book/21942288508637804
周推荐榜,1,铁雪云烟,5457374104142201,https://www.hongxiu.com/book/5457374104142201
周推荐榜,2,病娇小师弟今天又在钓我,27801520907672704,https://www.hongxiu.com/book/27801520907672704
周推荐榜,3,顾少夫人是个娇气包,23267345801735004,https://www.hongxiu.com/book/23267345801735004
周推荐榜,4,退婚后咸鱼美人拿了反派剧本,25587167609305404,https://www.hongxiu.com/book/25587167609305404
周推荐榜,5,罪恶之眼,25752078901523704,https://www.hongxiu.com/book/25752078901523704
周推荐榜,6,极致心瘾,28414596707233104,https://www.hongxiu.com/book/28414596707233104
周推荐榜,7,寒门嫡女有空间,17415658605564304,https://www.hongxiu.com/book/17415658605564304
周推荐榜,8,魏晋干饭人,22157767309773504,https://www.hongxiu.com/book/22157767309773504
周推荐榜,9,久爱成疾,9417477904611803,https://www.hongxiu.com/book/9417477904611803
周推荐榜,10,炙婚久骄,25639927501415304,https://www.hongxiu.com/book/25639927501415304
完本榜,1,恰似寒光遇骄阳,8263527304935303,https://www.hongxiu.com/book/8263527304935303
完本榜,2,摄政王他又在掐我桃花,21855922801825904,https://www.hongxiu.com/book/21855922801825904
完本榜,3,十万个氪金的理由,15953225505698104,https://www.hongxiu.com/book/15953225505698104
完本榜,4,惊世医妃,7036260604114001,https://www.hongxiu.com/book/7036260604114001
完本榜,5,致命偏宠,17755279506421504,https://www.hongxiu.com/book/17755279506421504
完本榜,6,南朝春色,22436946000359002,https://www.hongxiu.com/book/22436946000359002
完本榜,7,八零大院小可怜是玄学大佬,24533758901917904,https://www.hongxiu.com/book/24533758901917904
完本榜,8,全能修炼师：废柴二小姐,22567716000017202,https://www.hongxiu.com/book/22567716000017202
完本榜,9,穿成王爷的小仙女,7738325503169203,https://www.hongxiu.com/book/7738325503169203
完本榜,10,重生异能俏娇妻,13405417003238804,https://www.hongxiu.com/book/13405417003238804
更新榜,1,红妆十里花期十年,16234750005145304,https://www.hongxiu.com/book/16234750005145304
更新榜,2,斗罗之不想成神的我居然成神了,26516628909890004,https://www.hongxiu.com/book/26516628909890004
更新榜,3,国公府大小姐她又美又狂,22539098009399204,https://www.hongxiu.com/book/22539098009399204
